Unnamed: 0,Venue,City,Country,Date,Year,State,Setlist,Set Opener,Latitude,Longitude
1379,Compton Terrace,Tempe,USA,1992-12-05,1992,AZ,"['let the good times roll', 'hell in a bucket', 'sugaree', 'new minglewood blues', 'tennessee jed', ""tom thumb's blues"", 'candyman', 'music never stopped', 'scarlet begonias', 'fire on the mountain', 'estimated prophet', 'drums', 'space', 'the wheel', 'all along the watchtower', 'black peter', 'one more saturday night', 'the weight']",let the good times roll,33.4255117,-111.940016
1380,Compton Terrace,Tempe,USA,1992-12-06,1992,AZ,"['here comes sunshine', 'greatest story ever told', 'friend of the devil', 'me and my uncle', ""maggie's farm"", 'althea', 'masterpiece', 'deal', 'samson and delilah', 'crazy fingers', ""uncle john's band"", ""playin' reprise"", 'drums', 'space', 'this could be the last time', 'china doll', ""throwin' stones"", 'not fade away', 'brokedown palace']",here comes sunshine,33.4255117,-111.940016
1381,Oakland Coliseum,Oakland,USA,1992-12-11,1992,CA,"['cold rain and snow', 'wang dang doodle', 'althea', 'masterpiece', 'stagger lee', 'cassidy', 'deal', 'iko iko', 'looks like rain', 'eyes of the world', 'corina', 'drums', 'space', 'the wheel', 'stella blue', 'sugar magnolia', 'u.s. blues']",cold rain and snow,37.8044557,-122.271356
1382,Oakland Coliseum,Oakland,USA,1992-12-12,1992,CA,"['jack straw', 'bertha', 'little red rooster', 'friend of the devil', 'desolation row', 'bird song', 'picasso moon', 'crazy fingers', 'man smart/woman smarter', 'dark star', 'drums', 'space', 'i need a miracle', 'standing on the moon', 'one more saturday night', 'rain']",jack straw,37.8044557,-122.271356
1383,Oakland Coliseum,Oakland,USA,1992-12-13,1992,CA,"['mississippi half-step', 'baby blue', 'west l.a. fadeaway', 'me and my uncle', ""maggie's farm"", 'tennessee jed', 'promised land', 'here comes sunshine', 'long way to go home', 'victim or the crime', 'terrapin station', 'drums', 'space', 'the other one', 'morning dew', 'the weight']",mississippi half-step,37.8044557,-122.271356
1384,Oakland Coliseum,Oakland,USA,1992-12-16,1992,CA,"['feel like a stranger', 'brown eyed women', 'same thing', 'loose lucy', 'stuck inside of mobile', 'row jimmy', 'let it grow', 'shakedown street', 'samson and delilah', 'ship of fools', ""playin' in the band"", 'drums', 'space', 'dark star', 'all along the watchtower', 'stella blue', ""good lovin'"", 'casey jones']",feel like a stranger,37.8044557,-122.271356
1385,Oakland Coliseum,Oakland,USA,1992-12-17,1992,CA,"['touch of grey', ""walkin' blues"", 'loser', 'queen jane approximately', 'so many roads', 'music never stopped', 'scarlet begonias', 'fire on the mountain', 'long way to go home', 'corina', ""uncle john's band"", ""playin' reprise"", 'drums', 'space', 'this could be the last time', 'here comes sunshine', ""throwin' stones"", 'not fade away', ""baba o'riley"", 'tomorrow never knows']",touch of grey,37.8044557,-122.271356
1386,Oakland Coliseum Arena,Oakland,USA,1993-01-24,1993,CA,"['jack straw', 'sugaree', ""walkin' blues"", 'loser', 'queen jane', 'bird song', ""playin' in the band"", 'crazy fingers', 'samson and delilah', ""he's gone"", 'drums', 'space', 'the last time', 'black peter', 'sugar magnolia', ""knockin' on heaven's door""]",jack straw,37.8044557,-122.271356
1387,Oakland Coliseum Arena,Oakland,USA,1993-01-25,1993,CA,"['shakedown street', 'the same thing', 'althea', 'mama tried', ""maggie's farm"", 'loose lucy', 'music never stopped', 'china cat sunflower', 'i know you rider', 'long way to go home', 'corina', ""playin' reprise"", ""uncle john's band"", 'drums', 'space', 'watchtower', 'wharf rat', 'around and around', 'box of rain']",shakedown street,37.8044557,-122.271356
1388,Oakland Coliseum,Oakland,USA,1993-01-26,1993,CA,"['picasso moon', 'row jimmy', 'wang dang doodle', 'brown eyed women', 'desolation row', 'ramble on rose', 'promised land', 'women are smarter', 'eyes of the world', 'estimated prophet', 'terrapin station', 'drums', 'space', 'the other one', 'stella blue', 'lovelight', 'gloria']",picasso moon,37.8044557,-122.271356
1389,Oakland Coliseum,Oakland,USA,1993-02-21,1993,CA,"['bertha', 'greatest story ever told', 'lazy river road', 'eternity', 'ramble on rose', 'queen jane', 'row jimmy', 'promised land', 'liberty', 'corina', 'crazy fingers', 'estimated prophet', 'samson and delilah', 'drums', 'space', 'the wheel', 'i need a miracle', 'morning dew', 'us blues']",bertha,37.8044557,-122.271356
1390,Oakland Coliseum,Oakland,USA,1993-02-22,1993,CA,"['hell in a bucket', 'sugaree', ""walkin' blues"", 'althea', 'masterpiece', 'so many roads', 'cassidy', ""don't ease me in"", 'saint of circumstance', 'scarlet begonias', 'fire on the mountain', 'wave to the wind', 'drums', 'space', 'the days between', ""throwin' stones"", 'not fade away', ""knockin' on heaven's door""]",hell in a bucket,37.8044557,-122.271356
1391,Oakland Coliseum,Oakland,USA,1993-02-23,1993,CA,"['cold rain and snow', 'wang dang doodle', 'loser', 'memphis blues', 'broken arrow', 'long way to go home', 'johnny b goode', 'mardi gras parade', 'aiko aiko', 'corina', 'lazy river road', ""playin' in the band"", 'drums', 'space', 'the other one', 'stella blue', 'lovelight', 'brokedown palace']",cold rain and snow,37.8044557,-122.271356
1392,Rosemont Horizon,Rosemont,USA,1993-03-09,1993,IL,"['here comes sunshine', 'wang dang doodle', 'loose lucy', 'me and my uncle', 'mexicali blues', 'broken arrow', 'row jimmy', 'eternity', 'liberty', 'china cat sunflower', 'i know you rider', 'victim or the crime', 'ship of fools', ""playin' in the band"", 'drums', 'space', 'the last time', 'black peter', 'sugar magnolia', ""knockin' on heaven's door""]",here comes sunshine,41.9941334,-87.8756737
1393,Rosemont Horizon,Rosemont,USA,1993-03-10,1993,IL,"['feels like a stranger', 'stagger lee', 'the same thing', 'peggyo', 'queen jane', 'ramble on rose', 'let it grow', 'eyes of the world', 'long way to go home', 'lazy river road', 'corina', 'drums', 'space', 'the wheel', 'watchtower', 'standing on the moon', 'not fade away', 'baby blue']",feels like a stranger,41.9941334,-87.8756737
1394,Rosemont Horizon,Rosemont,USA,1993-03-11,1993,IL,"['help on the way', 'slipknot', ""franklin's tower"", 'little red rooster', 'althea', 'masterpiece', 'so many roads', 'music never stopped', 'aiko aiko', 'wave to the wind', ""truckin'"", 'spoonful', ""he's gone"", 'drums', 'space', 'the other one', 'the days between', 'around and around', 'liberty']",help on the way,41.9941334,-87.8756737
